word,pinyin,translation,word_type
描写,miáoxiě,to describe; to depict; to portray,Verb
敏感,mǐngǎn,sensitive; susceptible,Adjective
名牌,míngpái,famous brand; name brand,Noun
名片,míngpiàn,business card,Noun
名胜古迹,míngshènggǔjì,famous scenic spots and ancient historic sites,Noun
明确,míngquè,clear-cut; clearly; clarify,Adjective
明显,míngxiǎn,clear; obvious,Adjective
明星,míngxīng,"(movie, etc.) star; celebrity",Noun
命令,mìnglìng,an order; a command,Noun
命运,mìngyùn,fate; destiny,Noun
摸,mō,to touch; to stroke; fish out; feel out,Verb
模仿,mófǎng,imitate; to copy,Verb
模糊,móhu,vague; indistinct; fuzzy; foggy,Adjective
模特,mótè,(fashion) model,Noun
摩托车,mótuōchē,motorcycle; motorbike,Noun
陌生,mòshēng,strange; unfamiliar,Adjective
某,mǒu,a certain; some,Pronoun
木头,mùtou,wood; log; timber,Noun
目标,mùbiāo,target; goal; objective,Noun
目录,mùlù,catalog; table of contents; directory (on computer hard drive),Noun
目前,mùqián,at present; now; for the moment,Adverb
哪怕,nǎpà,even (if/though); no matter how,Conjunction
难怪,nánguài,no wonder,Conjunction
难免,nánmiǎn,hard to avoid; difficult to escape from,Adverb
脑袋,nǎodai,head; mental capability; brains,Noun
内部,nèibù,"internal; interior; inside (part, section)",Noun
内科,nèikē,internal medicine,Noun
嫩,nèn,tender; inexperienced,Adjective
能干,nénggàn,capable; competent,Adjective
能源,néngyuán,energy resources; power source,Noun
嗯,ēn,"(interjection expressing what?, huh? hmm? why? ok, etc.)",Interjection
年代,niándài,decade; era,Noun
年纪,niánjì,age,Noun
念,niàn,read aloud; to study; to miss or think of somebody,Verb
宁可,nìngkě,would rather; it is the lesser of two evils to,Conjunction
牛仔裤,niúzǎikù,jeans; cowboy pants,Noun
农村,nóngcūn,rural area; countryside,Noun
农民,nóngmín,peasant,Noun
农业,nóngyè,agriculture; farming,Noun
浓,nóng,concentrated; dense,Adjective
女士,nǚshì,lady; madam,Noun
欧洲,Ōuzhōu,Europe,Noun
偶然,ǒurán,accidentally; occasional; fortuitous,Adjective
拍,pāi,"to clap; to pat; to shoot (pictures, a film); send (a telegram)",Verb
派,pài,dispatch; (mw for political groups; schools of thought; etc.),Verb
盼望,pànwàng,to hope for; look forward to,Verb
培训,péixùn,cultivate; train,Verb
培养,péiyǎng,to train; cultivate; bring up,Verb
赔偿,péicháng,compensate; pay for somebody else's loss,Verb
佩服,pèifu,admire; to respect,Verb
配合,pèihé,be harmoniously combined or arranged; matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concern with; to cooperate; to become man and wife; to combine parts of a machine,Verb
盆,pén,basin; (flower) pot,Noun
碰,pèng,to touch; to bump; to encounter,Verb
批,pī,"criticize; to comment; wholesale; (mw for batches, lots, etc.)",Verb
批准,pīzhǔn,approve; ratify,Verb
披,pī,drape over one's shoulders; split open; open,Verb
疲劳,píláo,fatigue; wearily; weariness; tired,Adjective
匹,pǐ,"ordinary person; (mw for horses, bolt of cloth)",Measure word
片,"piàn, piān",(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,Noun
片面,piànmiàn,one-sided; unilateral,Adjective
飘,piāo,to float; flutter,Verb
拼音,pīnyīn,pinyin; phonetic writing,Noun
频道,píndào,frequency; (television) channel,Noun
平,píng,flat; level; equal; ordinary,Adjective
平安,píng'ān,safe and sound,Adjective
平常,píngcháng,ordinary; usually; common,Adjective
平等,píngděng,equal; equality,Adjective
平方,píngfāng,"square (as in square foot, square mile, etc.)",Adjective
平衡,pínghéng,balance; balanced; equilibrium,Verb
平静,píngjìng,calm; peaceful; tranquil; serene,Adjective
平均,píngjūn,average; to share equally,Adjective
评价,píngjià,to evaluate,Verb
凭,píng,lean against; evidence; proof; no matter (what/how/etc.),Preposition
迫切,pòqiè,urgent; pressing,Adjective
破产,pò chǎn,go bankrupt; go broke; bankruptcy,Verb
破坏,pòhuài,destroy; destruction; to wreck; to break,Verb
期待,qīdài,look forward to; await; expectation,Verb
期间,qījiān,period of time; time,Noun
其余,qíyú,the others; the rest; remaining,Pronoun
奇迹,qíjì,miracle; miraculous; marvel,Noun
企业,qǐyè,company; business; firm,Noun
启发,qǐfā,enlighten; inspire,Verb
气氛,qìfēn,atmosphere; mood; ambience,Noun
汽油,qìyóu,gasoline; gas; petrol,Noun
谦虚,qiānxū,modest,Adjective
签,qiān,bamboo used for drawing lots; toothpick; to sign (one's name),Verb
前途,qiántú,future; prospects; outlook (for the future),Noun
浅,qiǎn,shallow; simple; superficial; light (of colors),Adjective
欠,qiàn,yawn; to lack; owe (Kangxi radical 76),Verb
枪,qiāng,gun; spear,Noun
强调,qiángdiào,emphasize; to stress,Verb
强烈,qiángliè,intense; strong; violent,Adjective
抢,"qiǎng, qiāng",fight over; vie for; grab; rush | bump against,Verb
悄悄,qiāoqiāo,quietly,Adverb
瞧,qiáo,look at; see (colloquial),Verb
巧妙,qiǎomiào,ingenious; clever,Adjective
切,"qiē, qiè",to cut; to chop | correspond to; absolutely; ardently,Verb
亲爱,qīn'ài,"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",Adjective
亲切,qīnqiè,kind; amiable; cordial,Adjective
亲自,qīnzì,personally,Adverb
勤奋,qínfèn,hardworking; diligent; industrious,Adjective
青,qīng,blue; green; young (Kangxi radical 174); Qinghai province (abbr.),Adjective
青春,qīngchūn,youth; youthfulness; fresh spring,Noun
青少年,qīngshàonián,teenager,Noun
轻视,qīngshì,contempt; to scorn; scornful,Verb
轻易,qīngyì,easily; lightly; rashly,Adverb
清淡,qīngdàn,"light (of food, not greasy or strongly flavored) ; insipid; slack (sales)",Adjective
情景,qíngjǐng,scene; sight; circumstances,Noun
情绪,qíngxù,emotion; sentiment; mood; morale,Noun
请求,qǐngqiú,to request; ask,Verb
庆祝,qìngzhù,celebrate,Verb
球迷,qiúmí,"fan (of ball games: basketball, football, etc.)",Noun
趋势,qūshì,trend; tendency,Noun
取消,qǔxiāo,cancel; cancellation; abolish,Verb
娶,qǔ,marry (a wife); take a wife,Verb
去世,qùshì,pass away; die,Verb
圈,quān,"circle; ring; (mw for loops, orbits, etc.)",Noun
权力,quánlì,power; authority,Noun
权利,quánlì,right; privilege,Noun
全面,quánmiàn,all-around; comprehensive; fully,Adjective
劝,quàn,advise; to urge; persuade,Verb
缺乏,quēfá,shortage; to lack; be short of,Verb
确定,quèdìng,definite; certain; fixed; determine,Verb
确认,quèrèn,confirm; confirmation; verify,Verb
群,qún,"crowd; group; (mw for groups, flocks, or swarms)",Noun
燃烧,ránshāo,combustion; burn; kindle,Verb
绕,rào,to wind; to coil; move round,Verb
热爱,rè'ài,love ardently; adore; passion,Verb
热烈,rèliè,warm; enthusiastic,Adjective
热心,rèxīn,enthusiastic; zealous; warmhearted,Adjective
人才,réncái,talent; talented person,Noun
人口,rénkǒu,population; the populace,Noun
人类,rénlèi,humanity; human race; mankind,Noun
人民币,rénmínbì,(currency) renminbi (RMB),Noun
人生,rénshēng,human life,Noun
人事,rénshì,personnel,Noun
人物,rénwù,"figure; personage; character (in a play, story, etc.)",Noun
人员,rényuán,staff; crew; personnel,Noun
忍不住,rěn bu zhù,cannot help but; unable to bear,Verb
日常,rìcháng,daily; everyday,Adjective
日程,rìchéng,schedule; itinerary,Noun
日历,rìlì,calendar,Noun
日期,rìqī,date,Noun
日用品,rìyòngpǐn,daily necessities,Noun
日子,rìzi,days; date; time; life,Noun
如何,rúhé,how; what; what way,Pronoun
如今,rújīn,nowadays,Adverb
软,ruǎn,soft,Adjective
软件,ruǎnjiàn,(computer) software,Noun
弱,ruò,weak; feeble; young,Adjective
洒,sǎ,to sprinkle; to spray; to spill,Verb
嗓子,sǎngzi,throat; voice,Noun
色彩,sècǎi,tint; color; hue,Noun
杀,shā,to kill; to murder,Verb
沙漠,shāmò,desert,Noun
沙滩,shātān,sand bar; sand beach,Noun
傻,shǎ,foolish; fool,Adjective
晒,shài,to dry in the sun; shine upon; to sun; bask,Verb
删除,shānchú,to delete,Verb
闪电,shǎndiàn,lightning,Noun
扇子,shànzi,fan (for waving),Noun
善良,shànliáng,good and honest; kind-hearted,Adjective
善于,shànyú,be good at; excel at,Verb
伤害,shānghài,injure; to harm; wound,Verb
商品,shāngpǐn,goods; commodity; merchandise,Noun
商务,shāngwù,business; commercial affairs,Noun
商业,shāngyè,business; commerce; trade,Noun
上当,shàng dàng,be fooled; be duped; be taken in,Verb
蛇,shé,snake; serpent,Noun
舍不得,shěbude,hate to part with; begrudge doing something,Verb
设备,shèbèi,equipment; facilities; installations,Noun
设计,shèjì,plan; design,Verb
设施,shèshī,facilities; installation,Noun
射击,shèjī,to shoot; to fire (a gun),Verb
摄影,shè yǐng,take a photograph; shoot a film,Noun
伸,shēn,to stretch; extend,Verb
身材,shēncái,stature; figure; build,Noun
身份,shēnfèn,identity; status; dignity,Noun
深刻,shēnkè,profound; deep,Adjective
神话,shénhuà,mythology; fairy tale,Noun
神秘,shénmì,mysterious; mystical,Adjective
升,shēng,rise; hoist; promote; liter,Verb
生产,shēngchǎn,to produce; manufacture; give birth to a child,Verb
生动,shēngdòng,vivid; lively,Adjective
生长,shēngzhǎng,grow; grow up,Verb
声调,shēngdiào,tone; note,Noun
绳子,shéngzi,cord; string; rope,Noun
省略,shěnglüè,to omit; to leave out; abbreviate,Verb
胜利,shènglì,victory; triumph,Noun
失眠,shīmián,lose sleep; insomnia,Noun
失去,shīqù,"to lose (time, an opportunity, work, etc.)",Verb
失业,shī yè,lose one's job; unemployment,Noun
诗,shī,poem; poetry; verse,Noun
狮子,shīzi,lion,Noun
湿润,shīrùn,moist; humid,Adjective
石头,shítou,stone; rock,Noun
时差,shíchā,jetlag; time difference,Noun
时代,shídài,age; era; period,Noun
时刻,shíkè,moment; constantly,Noun
时髦,shímáo,fashionable,Adjective
时期,shíqī,period in time or history; period; time,Noun
时尚,shíshàng,fashion; fad,Adjective
实话,shíhuà,truth,Noun
实践,shíjiàn,practice; put into practice; carry out,Verb
实习,shíxí,to practice; field work; work as an intern,Verb
实现,shíxiàn,achieve; to implement,Verb
实验,shíyàn,experiment; test,Noun
实用,shíyòng,practical; pragmatic; functional,Adjective
食物,shíwù,food,Noun
使劲儿,shǐjìnr,exert all one's strength,Verb
始终,shǐzhōng,from beginning to end; all along,Adverb
士兵,shìbīng,soldier,Noun
市场,shìchǎng,market,Noun
似的,shìde,seems as if; rather like,Particle
事实,shìshí,fact; in fact,Noun
事物,shìwù,thing; object,Noun
事先,shìxiān,in advance; beforehand; prior,Adverb
试卷,shìjuàn,exam paper; test paper,Noun
收获,shōuhuò,harvest; acquisition; gain,Noun
收据,shōujù,receipt,Noun
手工,shǒugōng,hand-made; handicraft; manual,Noun
手术,shǒushù,surgery; operation,Noun
手套,shǒutào,glove; mitten,Noun
手续,shǒuxù,formalities; procedure,Noun
手指,shǒuzhǐ,finger,Noun
首,shǒu,head; chief; first; (mw for poems and songs) (Kangxi radical 185),Noun
寿命,shòumìng,life span; life expectancy,Noun
受伤,shòu shāng,"sustain injuries (in an accident, etc.); be injured",Verb
书架,shūjià,bookshelf,Noun
梳子,shūzi,comb; hairbrush,Noun
舒适,shūshì,cozy; comfortable; snug,Adjective
输入,shūrù,input; enter; import,Verb
蔬菜,shūcài,vegetables; produce,Noun
熟练,shúliàn,practiced; proficient; skilled,Adjective
属于,shǔyú,belong to; be part of,Verb
鼠标,shǔ biāo,mouse (computer),Noun
数,"shù, shǔ",number | to count; to rank,Noun
数据,shùjù,data; numbers; digital,Noun
数码,shùmǎ,numeral; number; amount; digital,Noun
摔倒,shuāidǎo,fall down; slip and fall; tumble; trip,Verb
甩,shuǎi,to throw; to fling; to swing; cast off,Verb
双方,shuāngfāng,bilateral; both sides; both parties involved,Noun
税,shuì,tax,Noun
说不定,shuōbudìng,can't say for sure; perhaps; maybe,Verb
说服,shuō fú,persuade; convince,Verb
丝绸,sīchóu,silk,Noun
丝毫,sīháo,the slightest amount or degree; a very little bit,Adverb
私人,sīrén,private (citizen); personal; individual,Adjective
思考,sīkǎo,reflect on; ponder; consider,Verb
思想,sīxiǎng,thought; thinking; idea; ideology,Noun
撕,sī,to tear (something),Verb
似乎,sìhū,it seems; as if; seemingly,Adverb
搜索,sōusuǒ,search; look for something; scour,Verb
宿舍,sùshè,dormitory; living quarters; hostel,Noun
随身,suíshēn,carry on one's person; bring with one,Adjective
随时,suíshí,at any time; whenever necessary,Adverb
随手,suíshǒu,convenient; without extra trouble,Adverb
碎,suì,broken; break into pieces,Adjective
损失,sǔnshī,loss (financial); lose,Noun
缩短,suōduǎn,shorten; cut down; curtail,Verb
所,suǒ,"place; that which; (mw for houses, buildings)",Pronoun
锁,suǒ,lock,Verb
台阶,táijiē,flight of steps; sidestep; fig. way out of an embarrassing situation,Noun
太极拳,tàijíquán,"Tai chi, a Chinese martial art",Noun
太太,tàitai,wife; married woman; Madame; Mrs.,Noun
谈判,tánpàn,negotiate; negotiation; conference,Verb
坦率,tǎnshuài,frank,Adjective
烫,tàng,to scald; to burn; scalding hot; to iron,Adjective
逃,táo,to escape; run away; flee,Verb
逃避,táobì,to escape; evade; shirk,Verb
桃,táo,peach,Noun
淘气,táoqì,naughty; bad,Adjective
讨价还价,tǎo jià huán jià,bargaining; haggling over price,Verb
套,tào,cover; (mw for sets of things); tie together,Noun
特色,tèsè,characteristic; distinguishing feature,Adjective
特殊,tèshū,special; particular; extraordinary; unusual,Adjective
特征,tèzhēng,characteristics; distinctive features; trait,Noun
疼爱,téng ài,love dearly; be very fond of,Verb
提倡,tíchàng,promote; to advocate; proposal,Verb
提纲,tígāng,outline; the key point,Noun
提问,tíwèn,put questions to; to quiz,Verb
题目,tímù,subject; title; topic,Noun
体会,tǐhuì,know from experience; learn through experience; realize; understanding; experience,Verb
体贴,tǐtiē,show consideration for; thoughtful,Verb
体现,tǐxiàn,embody; incarnate; reflect; to manifest,Verb
体验,tǐyàn,experience for oneself; to personally experience (usually a kind of life),Verb
天空,tiānkōng,sky; space; heavens,Noun
天真,tiānzhēn,naïve; innocent; artless,Adjective
调皮,tiáopí,naughty; mischievous; unruly,Adjective
调整,tiáozhěng,adjustment; revision,Verb
挑战,tiǎozhàn,challenge,Verb
通常,tōngcháng,regular; usual; normal; ordinary,Adverb
统一,tǒngyī,unify; unite; integrate; universal,Verb
痛苦,tòngkǔ,pain; suffering; agony,Adjective
痛快,tòngkuai,joyful; delighted; very happy; jolly,Adjective
偷,tōu,steal; pilfer,Verb
投入,tóurù,put into operation; throw into; to invest,Verb
投资,tóu zī,investment,Verb
透明,tòumíng,transparent; open (non-secretive),Adjective
突出,tūchū,prominent; stand out; give prominence to,Verb
土地,tǔdì,land; territory; soil,Noun
土豆,tǔdòu,potato,Noun
吐,"tǔ, tù",to spit | to vomit; throw up,Verb
兔子,tùzi,rabbit; hare,Noun
团,tuán,round; ball; group; unite; dumpling; (mw for ball-like things),Noun
推辞,tuīcí,to decline; turn down,Verb
推广,tuīguǎng,popularize; to spread,Verb
推荐,tuījiàn,recommend; recommendation,Verb
退,tuì,to retreat; decline; withdraw,Verb
退步,tuìbù,to degenerate; to regress,Verb
退休,tuìxiū,retirement (from work); retire,Verb
歪,wāi,askew; crooked; devious; recline to take a rest (colloquial),Adjective
外公,wàigōng,maternal grandfather,Noun
外交,wàijiāo,diplomacy; foreign affairs,Noun
完美,wánměi,perfect,Adjective
完善,wánshàn,perfect; make perfect; improve,Verb
完整,wánzhěng,complete; intact,Adjective
玩具,wánjù,plaything; toy,Noun
万一,wànyī,just in case; if by any chance,Conjunction
王子,wángzǐ,prince; son of a king,Noun
网络,wǎngluò,network,Noun
往返,wǎngfǎn,go back and forth; go to and fro,Verb
危害,wēihài,endanger; jeopardize; to harm,Verb
威胁,wēixié,threaten; to menace,Verb
微笑,wēixiào,smile,Verb
违反,wéifǎn,violate (a law),Verb
围巾,wéijīn,scarf; shawl,Noun
围绕,wéirào,revolve around; center on (an issue),Verb
唯一,wéiyī,only; sole,Adjective
维修,wéixiū,maintain (of equipment); to mend; repair,Verb
伟大,wěidà,great; mighty; large,Adjective
尾巴,wěiba,tail,Noun
委屈,wěiqu,feel wronged; nurse a grievance,Adjective
未必,wèibì,not necessarily; need not,Adverb
未来,wèilái,future,Noun
位于,wèiyú,be located at,Verb
位置,wèizhi,position; place; seat,Noun
胃,wèi,stomach,Noun
胃口,wèikǒu,appetite,Noun
温暖,wēnnuǎn,warm,Adjective
温柔,wēnróu,gentle and soft; tender; gentle,Adjective
文件,wénjiàn,document; file,Noun
文具,wénjù,stationery; writing supplies,Noun
文明,wénmíng,civilization; civilized; culture,Noun
文学,wénxué,literature,Noun
文字,wénzì,characters; script; writing,Noun
闻,wén,hear; to smell; news; reputation,Verb
吻,wěn,kiss; lips,Verb
稳定,wěndìng,stable; steady,Adjective
问候,wènhòu,send a greeting; send one's regards to,Verb
卧室,wòshì,bedroom,Noun
握手,wò shǒu,to shake hands,Verb
屋子,wūzi,room; house,Noun
无奈,wúnài,can't help but; have no choice,Adjective
无数,wúshù,countless; innumerable,Adjective
无所谓,wúsuǒwèi,doesn't matter; be indifferent,Adjective
武术,wǔshù,martial arts,Noun
勿,wù,not; do not,Verb
物理,wùlǐ,physics; physical,Noun
物质,wùzhì,matter; substance; material,Noun
雾,wù,fog; mist,Noun
吸取,xīqǔ,absorb; assimilate,Verb
吸收,xīshōu,absorb; ingest,Verb
戏剧,xìjù,drama; play; theater,Noun
系,"xì, jì",be; relate to; system; fasten; department; faculty; connect | to tie,Noun
系统,xìtǒng,system,Noun
细节,xìjié,details; particulars,Noun
瞎,xiā,blind,Adjective
下载,xiàzǎi,to download,Verb
吓,xià,frighten; to scare; intimidate,Verb
夏令营,xiàlìngyíng,summer camp,Noun
鲜艳,xiānyàn,bright-colored,Adjective
显得,xiǎnde,appear; seem; to look,Verb
显然,xiǎnrán,clear; evidently; obviously,Adverb
显示,xiǎnshì,"display, illustrate, to show",Verb
县,xiàn,county; district,Noun
现代,xiàndài,modern times; modern age,Adjective
现实,xiànshí,reality; actuality; practical,Noun
现象,xiànxiàng,appearance; phenomenon,Noun
限制,xiànzhì,restrictions; to limit; to bound,Verb
相处,xiāngchǔ,get along; interact,Verb
相当,xiāngdāng,equivalent to; appropriate; considerably; quite,Adjective
相对,xiāngduì,opposite; relatively; to resist,Adjective
相关,xiāngguān,correlation; interrelated; dependence,Adjective
相似,xiāngsì,similar; resemble; like,Adjective
香肠,xiāngcháng,sausage,Noun
享受,xiǎngshòu,enjoy,Verb
想念,xiǎngniàn,to miss; remember with longing; long to see again,Verb
想象,xiǎngxiàng,imagine; visualize,Verb
项,xiàng,nape (of the neck); sum (of money); mw item,Noun
项链,xiàngliàn,necklace,Noun
项目,xiàngmù,program; item; project,Noun
象棋,xiàngqí,chess; Chinese chess,Noun
象征,xiàngzhēng,symbol; symbolize; signify,Verb
消费,xiāofèi,consumption; spending,Verb
消化,xiāohuà,to digest,Verb
消极,xiāojí,passive; negative; demoralized,Adjective
消失,xiāoshī,disappear; fade away; dissolve,Verb
销售,xiāoshòu,to sell; to market; sales,Verb
小麦,xiǎomài,wheat,Noun
小气,xiǎoqì,stingy; petty,Adjective
孝顺,xiàoshùn,filial piety,Adjective
效率,xiàolǜ,efficiency,Noun
歇,xiē,to rest; to go to bed; to take a break,Verb
斜,xié,slanting; tilted,Adjective
写作,xiězuò,writing; composition; written works,Verb
血,xuè,blood (Kangxi radical 143),Noun
心理,xīnlǐ,psychology; psychological; mental,Noun
心脏,xīnzàng,heart,Noun
欣赏,xīnshǎng,appreciate; enjoy; admire,Verb
信号,xìnhào,signal,Noun
信任,xìnrèn,to trust; have confidence in,Verb
行动,xíngdòng,to move; get around; action,Verb
行人,xíngrén,pedestrian,Noun
行为,xíngwéi,action; behavior; conduct,Noun
形成,xíngchéng,take shape; form,Verb
形容,xíngróng,describe; appearance; look,Verb
形式,xíngshì,form; shape; situation,Noun
形势,xíngshì,circumstances; situation; terrain,Noun
形象,xíngxiàng,image; form; figure,Noun
形状,xíngzhuàng,form; figure; shape,Noun
幸亏,xìngkuī,fortunately; luckily,Conjunction
幸运,xìngyùn,luck; fortune,Adjective
性质,xìngzhì,nature; characteristic; quality,Noun
兄弟,xiōngdì,brothers; younger brother; brethren,Noun
胸,xiōng,chest; bosom; heart,Noun
休闲,xiūxián,recreation; leisure,Adjective
修改,xiūgǎi,amend; modify; revise; alter,Verb
虚心,xūxīn,modest; open-minded,Adjective
叙述,xùshù,retell; narrate,Verb
宣布,xuānbù,announce; declare; proclaim,Verb
宣传,xuānchuán,propaganda; to propagate; to give publicity to,Verb
学历,xuélì,educational background; school record,Noun
学术,xuéshù,learning; science; academic,Noun
学问,xuéwen,learning; knowledge,Noun
寻找,xúnzhǎo,seek; look for; quest,Verb
询问,xúnwèn,inquire about,Verb
训练,xùnliàn,to train; to drill; to exercise; training,Verb
迅速,xùnsù,fast; quick; rapid,Adjective
押金,yājīn,security deposit; down payment,Noun
牙齿,yáchǐ,tooth,Noun
延长,yáncháng,extend; prolong; lengthen,Verb
严肃,yánsù,solemn; serious; earnest,Adjective
演讲,yǎnjiǎng,give a lecture; make a speech,Verb
宴会,yànhuì,banquet; feast; dinner party,Noun
阳台,yángtái,balcony,Noun
痒,yǎng,to itch; itchy,Adjective
样式,yàngshì,type; style; form,Noun
腰,yāo,waist; lower back; pocket,Noun
摇,yáo,to shake; to rock,Verb
咬,yǎo,to bite; to nip,Verb
要不,yàobù,otherwise; or else; how about,Conjunction
业务,yèwù,business; profession,Noun
业余,yèyú,spare time; amateur,Adjective
夜,yè,night; darkness,Noun
一辈子,yíbèizi,(for) a lifetime; all one's life,Noun
一旦,yídàn,in case (something happens); once (sth. has happened ... then); in one day,Conjunction
一律,yílǜ,same; uniformly; all; without exception,Adverb
一再,yízài,repeatedly; again and again,Adverb
一致,yízhì,unanimous; identical (views or opinions); consistent,Adjective
依然,yīrán,still; as before,Adverb
移动,yídòng,to move,Verb
移民,yímín,immigrate; emigrate; migrate,Noun
遗憾,yíhàn,regret; pity; sorry,Adjective
疑问,yíwèn,doubt; question; to query,Noun
乙,yǐ,two; twist (2nd Heavenly Stem) (Kangxi radical 5),Pronoun
以及,yǐjí,as well as; too; (formal) and,Conjunction
以来,yǐlái,since (a previous event),Preposition
亿,yì,"one hundred million (100,000,000)",Noun
义务,yìwù,duty; obligation; volunteer duty,Noun
议论,yìlùn,discuss; to comment; talk about,Verb
意外,yìwài,unexpected; accident; mishap,Adjective
意义,yìyì,meaning; significance,Noun
因而,yīn'ér,therefore; as a result; thus,Conjunction
因素,yīnsù,element; factor,Noun
银,yín,silver (the element),Noun
印刷,yìnshuā,print,Verb
英俊,yīngjùn,handsome,Adjective
英雄,yīngxióng,hero,Noun
迎接,yíngjiē,meet; greet; to welcome,Verb
营养,yíngyǎng,nutrition; nourishment; sustenance,Noun
营业,yíngyè,do business; to trade,Verb
影子,yǐngzi,shadow; reflection,Noun
应付,yìngfu,to cope with; deal with; handle; do sth. perfunctorily; do sth. after a fashion; make do,Verb
应用,yìngyòng,to apply; to use; application,Verb
硬,yìng,hard; stiff; obstinately,Adjective
硬件,yìngjiàn,hardware,Noun
拥抱,yōngbào,embrace; to hug,Verb
拥挤,yōngjǐ,to crowd; to push; to squeeze,Adjective
勇气,yǒngqì,courage; valor,Noun
用功,yòng gōng,diligent; industrious; hardworking,Verb
用途,yòngtú,use; application; purpose,Noun
优惠,yōuhuì,preferential; favorable,Adjective
优美,yōuměi,graceful; fine; elegant,Adjective
优势,yōushì,advantage; superiority; dominant position,Noun
悠久,yōujiǔ,established; long; longstanding,Adjective
犹豫,yóuyù,hesitate; hesitant; undecided,Verb
油炸,yóuzhá,deep fry,Verb
游览,yóulǎn,go sight-seeing; tour,Verb
有利,yǒulì,advantageous; beneficial,Adjective
幼儿园,yòu'éryuán,kindergarten; nursery school,Noun
娱乐,yúlè,entertain; amuse; entertainment,Noun
与其,yǔqí,rather than; better than,Conjunction
语气,yǔqì,tone; manner of speaking; mood,Noun
玉米,yùmǐ,corn; maize,Noun
预报,yùbào,to predict; forecast,Verb
预订,yùdìng,place an order; book ahead; subscribe for,Verb
预防,yùfáng,prevent; take precautions against,Verb
元旦,yuándàn,New Year's Day,Noun
员工,yuángōng,employee; staff; personnel,Noun
原料,yuánliào,raw material; ingredients,Noun
原则,yuánzé,principle; doctrine,Noun
圆,yuán,round; circular; formal unit of Chinese currency,Adjective
愿望,yuànwàng,desire; wish; aspiration,Noun
乐器,yuèqì,musical instrument,Noun
晕,yūn,dizzy; to fain,Adjective
运气,yùnqi,luck,Noun
运输,yùnshū,transport; transportation,Verb
运用,yùnyòng,to use; apply,Verb
灾害,zāihài,disaster; calamity,Noun
再三,zàisān,over and over again; repeatedly,Adverb
在乎,zàihu,care about; be determined by; to mind,Verb
在于,zàiyú,lie in; be in; rest with; depend on,Preposition
赞成,zànchéng,approve; endorse,Verb
赞美,zànměi,admire; applause; to praise,Verb
糟糕,zāogāo,terrible; too bad; how terrible; what bad luck; what a mess,Adjective
造成,zàochéng,to cause; make; bring out,Verb
则,zé,standard; regulation; however; in that case,Conjunction
责备,zébèi,to blame; criticize (sb.); accuse,Verb
摘,zhāi,"to pick (flowers, fruit, etc.); to pluck; to take; to borrow",Verb
窄,zhǎi,narrow; petty; hard-up,Adjective
粘贴,zhāntiē,to paste,Verb
展开,zhǎn kāi,spread out; unfold; carry out; in full swing,Verb
展览,zhǎnlǎn,put on display; to exhibit; exhibition,Noun
占,zhàn,occupy; seize; to constitute,Verb
战争,zhànzhēng,war; conflict,Noun
长辈,zhǎngbèi,an elder; an elder generation,Noun
涨,"zhǎng, zhàng","to rise (of prices, rivers); to go up | to swell; to bloat",Verb
掌握,zhǎngwò,to grasp; to master; to control,Verb
账户,zhànghù,bank account,Noun
招待,zhāodài,receive (guests); entertain; reception,Verb
着火,zháohuǒ,catch fire; ignite,Verb
着凉,zháo liáng,catch a cold,Verb
召开,zhàokāi,convene (a conference or meeting); call together,Verb
照常,zhàocháng,as usual; normal,Adverb
哲学,zhéxué,philosophy,Noun
针对,zhēnduì,in connection with; directed towards,Preposition
珍惜,zhēnxī,to treasure; cherish; to value,Verb
真实,zhēnshí,true; real; authentic,Adjective
诊断,zhěnduàn,diagnosis; diagnose,Verb
阵,zhèn,short period; disposition of troops; wave,Noun
振动,zhèndòng,vibrate; vibration,Verb
争论,zhēnglùn,argue; to dispute; contend; argument,Verb
争取,zhēngqǔ,fight for; compete for; strive,Verb
征求,zhēngqiú,solicit; seek; ask for; to request,Verb
睁,zhēng,to open (eyes),Verb
整个,zhěnggè,whole; entire; total,Adjective
整齐,zhěngqí,tidy; neat; in good order,Adjective
整体,zhěngtǐ,whole; entirety,Adjective
正,zhèng,straight; currently; correct; just (right); pure; precisely,Adjective
证件,zhèngjiàn,paperwork; credentials; papers; certificates,Noun
证据,zhèngjù,evidence; proof; testimony,Noun
政府,zhèngfǔ,government,Noun
政治,zhèngzhì,politics,Noun
挣,"zhèng, zhēng",to earn | to struggle,Verb
支,zhī,branch; support; put up; (mw for long; narrow objects) (Kangxi radical 65),Verb
支票,zhīpiào,(bank) check,Noun
执照,zhízhào,a license; a permit,Noun
直,zhí,straight; vertical; frank; directly; continuously,Adjective
指导,zhǐdǎo,to guide; give directions,Verb
指挥,zhǐhuī,to command; to conduct; commander,Verb
至今,zhì jīn,up to now; so far,Adverb
至于,zhìyú,as for; go so far as to,Preposition
志愿者,zhìyuànzhě,volunteer,Noun
制定,zhìdìng,formulate; lay down (a plan or policy); to draft,Verb
制度,zhìdù,system; institution,Noun
制造,zhìzào,manufacture; make,Verb
制作,zhìzuò,make; manufacture,Verb
